epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,349.597,0.37962,0.31602,0.85143,0.92369,0.94215,0.94319,0.67952,0.41839,0.33882,0.74208,0.000755,0.000755,0.000755
82,354.032,0.36047,0.30501,0.84624,0.87336,0.93216,0.94236,0.66117,0.45506,0.37621,0.7552,0.000748813,0.000748813,0.000748813
83,358.277,0.36484,0.31627,0.85184,0.88649,0.90688,0.93199,0.65217,0.44305,0.35232,0.75174,0.000742625,0.000742625,0.000742625
84,362.655,0.36801,0.30948,0.856,0.89489,0.96124,0.94262,0.67658,0.42933,0.33872,0.74471,0.000736438,0.000736438,0.000736438
85,366.714,0.37748,0.3269,0.85055,0.87494,0.95127,0.9499,0.66,0.44216,0.34231,0.74768,0.00073025,0.00073025,0.00073025
86,371.026,0.36675,0.305,0.84725,0.80931,0.94675,0.89681,0.64839,0.42724,0.32874,0.74379,0.000724062,0.000724062,0.000724062
87,375.437,0.38217,0.32261,0.85362,0.82948,0.90901,0.8987,0.65615,0.44248,0.35149,0.75377,0.000717875,0.000717875,0.000717875
88,379.908,0.36167,0.31205,0.84853,0.92096,0.90127,0.9417,0.67047,0.43526,0.33866,0.74193,0.000711687,0.000711687,0.000711687
89,384.251,0.36513,0.3043,0.85136,0.88315,0.93301,0.94555,0.67313,0.46065,0.36899,0.74846,0.0007055,0.0007055,0.0007055
90,388.562,0.37156,0.31085,0.854,0.88184,0.93605,0.92975,0.6512,0.50665,0.35226,0.78409,0.000699312,0.000699312,0.000699312
91,392.664,0.3723,0.31614,0.86299,0.88175,0.92705,0.9094,0.66067,0.45102,0.36042,0.75012,0.000693125,0.000693125,0.000693125
92,396.935,0.36807,0.29918,0.85209,0.85958,0.93273,0.93522,0.70528,0.43101,0.34281,0.74619,0.000686937,0.000686937,0.000686937
93,401.173,0.37437,0.31311,0.85477,0.93371,0.89204,0.93738,0.70351,0.42142,0.34977,0.74448,0.00068075,0.00068075,0.00068075
94,405.516,0.36702,0.30284,0.85339,0.86626,0.94606,0.91469,0.66957,0.4282,0.33469,0.74707,0.000674562,0.000674562,0.000674562
95,409.725,0.38251,0.30565,0.85726,0.9195,0.92283,0.92824,0.69881,0.44461,0.32938,0.7529,0.000668375,0.000668375,0.000668375
96,414.115,0.3612,0.30117,0.85176,0.89076,0.93964,0.94693,0.68814,0.44428,0.34615,0.74496,0.000662188,0.000662188,0.000662188
97,418.486,0.36581,0.31398,0.851,0.8969,0.9342,0.93263,0.67055,0.43259,0.35373,0.73825,0.000656,0.000656,0.000656
98,422.568,0.3696,0.30029,0.85087,0.86201,0.92706,0.92604,0.65788,0.44134,0.4041,0.74386,0.000649813,0.000649813,0.000649813
99,426.733,0.372,0.2996,0.85153,0.89609,0.94889,0.93535,0.68591,0.43087,0.33947,0.74035,0.000643625,0.000643625,0.000643625
100,430.973,0.37843,0.30164,0.85502,0.85874,0.95481,0.93264,0.69004,0.43787,0.37428,0.74389,0.000637437,0.000637437,0.000637437
101,435.223,0.36361,0.29825,0.84761,0.85181,0.95986,0.95358,0.68506,0.42076,0.34166,0.73725,0.00063125,0.00063125,0.00063125
102,439.654,0.37497,0.30509,0.8556,0.88506,0.94501,0.95658,0.70056,0.42109,0.35443,0.73764,0.000625062,0.000625062,0.000625062
103,443.981,0.35978,0.30365,0.84928,0.89719,0.92772,0.94055,0.67265,0.42696,0.33999,0.74796,0.000618875,0.000618875,0.000618875
104,448.239,0.35972,0.3057,0.85382,0.90826,0.95743,0.94964,0.67143,0.44474,0.35198,0.74029,0.000612687,0.000612687,0.000612687
105,452.679,0.35899,0.29546,0.84836,0.88131,0.93921,0.9372,0.68817,0.44881,0.34476,0.74936,0.0006065,0.0006065,0.0006065
106,456.993,0.36104,0.29566,0.84745,0.86496,0.95669,0.93458,0.68777,0.42553,0.33067,0.74185,0.000600313,0.000600313,0.000600313
107,461.181,0.36092,0.29308,0.84901,0.90291,0.90205,0.94331,0.65841,0.44364,0.34664,0.75247,0.000594125,0.000594125,0.000594125
108,465.6,0.36029,0.29919,0.84769,0.90003,0.94552,0.9475,0.68581,0.42541,0.32722,0.7473,0.000587938,0.000587938,0.000587938
109,469.752,0.34827,0.27892,0.84902,0.90727,0.941,0.94669,0.68523,0.44238,0.33387,0.74858,0.00058175,0.00058175,0.00058175
110,474.021,0.34997,0.28381,0.84813,0.86242,0.92945,0.93725,0.66755,0.44615,0.34904,0.74423,0.000575563,0.000575563,0.000575563
111,478.393,0.37432,0.29627,0.84864,0.86908,0.93337,0.92162,0.678,0.43341,0.33636,0.74304,0.000569375,0.000569375,0.000569375
112,482.758,0.36257,0.29292,0.84822,0.83679,0.92606,0.92282,0.65538,0.43903,0.3597,0.74607,0.000563187,0.000563187,0.000563187
113,486.932,0.36152,0.29118,0.84711,0.88148,0.93299,0.94422,0.68621,0.43971,0.3332,0.75068,0.000557,0.000557,0.000557
114,491.334,0.36834,0.29702,0.84958,0.9231,0.92489,0.93465,0.68069,0.42842,0.3345,0.74768,0.000550813,0.000550813,0.000550813
115,495.705,0.34801,0.28613,0.84556,0.87938,0.92465,0.92624,0.67399,0.42801,0.31512,0.74669,0.000544625,0.000544625,0.000544625
116,500.391,0.35621,0.29336,0.85014,0.90865,0.91079,0.93891,0.67556,0.43011,0.3426,0.74284,0.000538438,0.000538438,0.000538438
117,504.782,0.3559,0.28744,0.84858,0.91511,0.89993,0.93376,0.67555,0.41975,0.33976,0.74179,0.00053225,0.00053225,0.00053225
118,509.039,0.35524,0.28,0.85188,0.87025,0.89514,0.91978,0.66608,0.42083,0.37621,0.74808,0.000526063,0.000526063,0.000526063
119,513.374,0.36284,0.28759,0.85399,0.86936,0.93032,0.91894,0.65833,0.45039,0.34783,0.74648,0.000519875,0.000519875,0.000519875
120,517.601,0.35606,0.28644,0.85135,0.90633,0.93456,0.94517,0.68015,0.4407,0.34231,0.74606,0.000513688,0.000513688,0.000513688
121,521.929,0.36364,0.2894,0.85208,0.92647,0.94377,0.94716,0.67904,0.44234,0.32316,0.74735,0.0005075,0.0005075,0.0005075
122,526.307,0.34946,0.27862,0.84863,0.90295,0.93027,0.94531,0.69497,0.44433,0.34374,0.74347,0.000501313,0.000501313,0.000501313
123,530.422,0.35867,0.28663,0.84575,0.87581,0.93152,0.91965,0.68762,0.43056,0.34462,0.74027,0.000495125,0.000495125,0.000495125
124,534.647,0.35833,0.285,0.85615,0.88845,0.92449,0.91401,0.65937,0.42973,0.32628,0.74331,0.000488938,0.000488938,0.000488938
125,539.003,0.35095,0.27518,0.84318,0.8964,0.9271,0.91699,0.65667,0.43142,0.32645,0.74659,0.00048275,0.00048275,0.00048275
126,543.433,0.3541,0.28158,0.8468,0.87309,0.94677,0.91808,0.66726,0.43591,0.36385,0.74705,0.000476562,0.000476562,0.000476562
127,547.609,0.34639,0.27283,0.846,0.90115,0.88522,0.91895,0.66548,0.43505,0.37134,0.75045,0.000470375,0.000470375,0.000470375
